time,Alumni_Hall_PCHWS_T value,CAFE_103_Indoor_Unit_50 localSetpoint,AHU_1 outdoorAirTemp,AHU_1 supplyAirTemp,AHU_1 supplyAirTempSetpoint,WeatherDataProfile humidity,MEMORIAL_HALL_202_Indoor_Unit_67 localSetpoint,Alumni_Hall_PCHW_Flow value,HW_BTU_METER currentKbtuDeltaReading,EXERCISE_ROOM_002_Indoor_Unit_1 localSetpoint,CORRIDOR_302_Indoor_Unit_30 localSetpoint,COORIDOR_006A_Indoor_Unit_34 localSetpoint,OFFICE_305_Indoor_Unit_74 localSetpoint,CHW_BTU_METER currentKbtuDeltaReading,HWSP_STPT value,CORRIDOR_108_Indoor_Unit_60 localSetpoint,MEETING_117A_Indoor_Unit_63 localSetpoint,HWS_T value,HX_Valve_1 valvePosition,OFFICE_115_Indoor_Unit_77 localSetpoint,CORRIDOR_203_Indoor_Unit_64 localSetpoint,TUTORING_010_Indoor_Unit_10 localSetpoint,ElectricMeterProfile currentKbtuDeltaReading,HWR_T value,CLASS_ROOM_201_Indoor_Unit_100 localSetpoint,LOUNGE_100_Indoor_Unit_40 localSetpoint,Hot_Water_Flow_AI_2 value,READING_ROOM_206_Indoor_Unit_108 localSetpoint,WRITING_STUDIO_113_Indoor_Unit_20 localSetpoint
2020-05-10 14:05:00+00:00,48.564136505127,72.0,69.05557250976562,70.24346160888672,70.1979751586914,43.82225036621094,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.000570136122405529,99.1447448730469,72.0,87.0,97.4264221191406,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 14:10:00+00:00,48.564136505127,72.0,69.05557250976562,70.24346160888672,70.9404296875,43.75027084350586,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0005701566115021706,98.7597961425781,72.0,87.0,97.4264221191406,0.0,77.0,72.0,72.0,13.499794960021973,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 14:15:00+00:00,48.564136505127,72.0,69.05557250976562,70.5417709350586,72.0,43.75027084350586,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0005523022264242172,98.3496475219727,72.0,87.0,97.4264221191406,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 14:20:00+00:00,48.564136505127,72.0,69.05557250976562,70.5417709350586,72.0,43.58646774291992,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0005701174959540367,98.3496475219727,72.0,87.0,97.4264221191406,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 14:25:00+00:00,48.564136505127,72.0,69.05557250976562,70.5417709350586,71.8700942993164,42.63718032836914,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0005701351910829544,97.9397888183594,72.0,87.0,97.4264221191406,0.0,77.0,72.0,72.0,13.512487411499023,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 14:30:00+00:00,48.564136505127,72.0,69.05557250976562,70.5417709350586,70.97674560546875,42.05501937866211,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.000570039264857769,97.9397888183594,72.0,87.0,97.4264221191406,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 14:35:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,72.0,41.58539962768555,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0006361352279782295,97.5292816162109,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 14:40:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,71.39474487304688,40.99148178100586,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.001065542921423912,97.5292816162109,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,12.59571361541748,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 14:45:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,71.24872589111328,40.57688522338867,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010654721409082413,97.5292816162109,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 14:50:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,70.46685791015625,40.203182220458984,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010655783116817474,96.287109375,72.0,87.0,97.1261825561523,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
